customer_id,full_name,mobile_number,age,gender,region,date_joined,is_business_user,risk_score
cust100039,Lisa Green,5463134113,60,male,east,2022-07-31,False,0.29
cust100040,Brett Lopez Jr.,8975419213,38,female,north,2022-08-05,True,0.18
cust100041,James Jackson II,6374579131,42,male,south,2020-10-28,False,0.09
cust100042,Shannon Flores,6220062809,34,female,central,2022-06-29,False,0.11
cust100043,Joel Larsen,8204161307,56,male,north,2023-10-13,False,0.4
cust100044,Melissa Singleton,4330992569,43,male,south,2024-02-01,False,0.21
cust100045,Tracy Stein,6149142120,50,female,central,2025-03-10,False,0.12
cust100046,Sarah Brown,5150280726,58,female,central,2024-05-30,False,0.22
cust100047,Jill Doyle,1406045246,51,female,west,2024-08-18,False,0.45
cust100048,Elizabeth Coleman,5586971278,69,male,west,2025-07-15,True,0.21
cust100049,Sandy Haynes,5685165291,37,male,south,2020-10-23,False,0.27
cust100050,Marilyn Edwards,5880812555,37,male,north,2023-06-18,False,0.24
cust100051,Douglas Gibson,0208794395,37,female,west,2022-05-27,False,0.16
cust100052,Maria Powell,8202439212,26,male,north,2024-06-05,False,0.06
cust100053,Lisa Cain,1981132860,31,female,central,2023-07-19,False,0.16
cust100054,Katelyn Aguirre,3675837146,70,female,central,2021-08-07,False,0.17
cust100055,Patricia Robertson,8996057034,42,male,north,2024-01-28,False,0.27
cust100056,Kimberly Short,4868869947,61,female,central,2022-02-07,False,0.3
cust100057,Laurie Pierce,9056640110,24,female,west,2022-07-06,False,0.31
cust100058,Robert Watson,1752620245,49,male,central,2024-11-19,False,0.23
cust100059,Donna Cuevas,4657376611,36,male,south,2021-03-29,False,0.31
cust100060,Crystal Johnson,6201690838,69,other,south,2022-09-14,False,0.11
cust100061,Matthew Howe,2703161748,31,male,north,2023-01-31,False,0.35
cust100062,Larry Mendoza,2846847839,53,male,central,2022-04-12,False,0.26
cust100063,Mr. William Sandoval,4138443622,52,male,north,2021-11-16,True,0.16
cust100064,Mark Berger,2644744737,28,male,central,2022-06-07,False,0.26
cust100065,George Obrien,2085823597,66,male,central,2022-12-30,False,0.19
cust100066,Stephen Hale,9213938946,41,male,north,2022-03-26,False,0.34
cust100067,Samantha Short,5498601552,56,female,west,2021-02-28,False,0.38
cust100068,Briana Berry,4534805012,53,female,east,2025-03-23,True,0.46
cust100069,Nathan Vazquez,8515294619,22,male,south,2023-09-12,False,0.03
cust100070,Kristy Nichols,8209812336,39,male,central,2021-12-19,False,0.03
cust100071,Joshua Duffy,1518588890,42,male,central,2023-09-09,False,0.14
cust100072,Carlos Jones,5422676192,23,female,east,2021-12-10,False,0.22
cust100073,Rebecca Munoz,6817069645,54,female,north,2022-08-21,False,0.31
cust100074,Amy Ruiz,9288584957,35,male,north,2024-09-10,False,0.24
cust100075,Robert Allen,5654096665,18,female,north,2022-01-24,True,0.0
cust100076,Jessica Lyons,8287519073,25,female,north,2022-07-06,False,0.16
cust100077,Carrie Moran,3775736768,68,other,west,2021-03-12,False,0.3
cust100078,Derek Martinez Jr.,2768422814,46,male,south,2020-09-08,False,0.23
cust100079,Mark Fitzgerald,8362253188,24,male,west,2025-05-25,False,0.29
cust100080,Kevin Palmer,3898136719,52,female,east,2023-10-25,False,0.17
cust100081,Justin May,0047462928,63,male,north,2024-02-18,False,0.18
cust100082,Joseph West,6374524942,38,male,north,2024-07-01,False,0.22
cust100083,Monique Rogers,5649702243,36,female,east,2021-07-30,False,0.25
cust100084,Kimberly Gonzalez,8763112006,38,male,north,2022-07-05,False,0.22
cust100085,Leslie Anderson,4365234257,56,female,north,2023-04-10,False,0.21
cust100086,Ronald Clark,9195749005,68,female,central,2021-05-24,False,0.12
cust100087,Thomas Short,3886136829,48,female,east,2021-11-13,False,0.25
cust100088,Bryan Harris,3402883646,31,male,south,2022-08-03,False,0.21
cust100089,Michael Bass Jr.,3685311067,70,male,west,2021-07-15,True,0.34
cust100090,Jonathan Boone,3591507092,54,female,south,2025-01-19,False,0.34
cust100091,Teresa Harrison,6894645708,37,male,south,2025-05-02,False,0.22
cust100092,Alicia Torres,8419566809,55,female,east,2023-07-03,False,0.15
cust100093,Joseph Garcia,0591718758,24,female,central,2025-03-11,False,0.12
cust100094,Tammy Browning,2916586554,23,male,north,2023-08-22,False,0.25
cust100095,Arthur Mccoy,9911246124,43,male,central,2023-05-08,False,0.21
cust100096,Cynthia Garcia,3818554820,64,male,north,2022-10-21,False,0.16
cust100097,Paul Johnson,0986233192,68,male,west,2025-06-19,False,0.21
cust100098,Mikayla Ellis,9530070248,27,male,east,2020-10-16,True,0.13
cust100099,Stephen Warren,3743785561,60,male,south,2021-07-27,False,0.28
cust100100,Michael Phillips,0701996955,70,female,east,2020-12-18,False,0.15
cust100101,Michael Brock,9724849698,50,female,central,2021-11-21,False,0.35
cust100102,Larry Williams,8737526601,31,male,north,2022-05-17,False,0.25
cust100103,Alejandra Walton,5549031511,70,female,central,2021-03-27,False,0.27
cust100104,Tina Lawson,9544668713,65,other,south,2022-08-19,False,0.07
cust100105,Andrew Allen,3924504772,45,female,north,2023-12-21,False,0.22
cust100106,Jacob Spencer,9484604171,60,male,north,2023-02-06,False,0.29
cust100107,Nicole Curry,0198882240,46,female,central,2025-06-27,False,0.09
cust100108,Aaron Brown,0855090837,46,female,west,2021-08-05,True,0.17
cust100109,Juan King,0387055610,39,male,west,2023-05-29,True,0.2
cust100110,Anna Lopez,0521723045,59,female,central,2020-11-19,True,0.04
cust100111,Curtis Perez,0113448630,62,male,south,2024-03-19,False,0.24
cust100112,Erika Howard,3752913164,26,male,east,2023-04-04,False,0.3
cust100113,Tara Fischer,5567805242,43,male,north,2022-02-08,False,0.1
cust100114,Joshua Acosta,2194355247,18,male,east,2022-02-21,False,0.24
cust100115,Joshua Mercado,2780035585,59,female,south,2024-11-19,False,0.04
cust100116,Lori Wade,0493034596,49,female,south,2021-10-25,False,0.2
cust100117,Crystal Roberts,3584223149,39,female,east,2023-02-24,False,0.01
cust100118,Kimberly Berger,7285361433,32,male,north,2024-05-29,False,0.33
cust100119,Daniel Martin,1933173952,59,female,south,2023-06-21,False,0.25
cust100120,Megan Galloway,8005785271,68,female,east,2023-02-24,False,0.2
cust100121,Taylor Santiago,1756141502,37,female,east,2025-02-19,False,0.11
cust100122,Dennis Roth,4240166934,62,female,central,2022-05-18,True,0.35
cust100123,Krystal Johnston,5165893672,25,female,central,2024-10-04,False,0.44
cust100124,Dana Cross,8879758297,29,male,west,2022-08-01,False,0.0
cust100125,Nathaniel Rivas,5055738417,54,female,north,2024-05-20,False,0.35
cust100126,Christopher Ramos,2977093907,43,female,east,2023-11-13,False,0.4
cust100127,Victoria Chaney,2522984386,28,female,north,2022-12-08,False,0.24
cust100128,Emily Meyer,2051668297,23,female,north,2022-11-04,False,0.06
cust100129,Helen Clark,6276277890,23,female,south,2023-07-13,False,0.3
cust100130,Leslie Freeman,4208018375,57,female,north,2022-10-20,False,0.18
cust100131,Ashley Brown,5812686978,33,female,west,2021-05-04,False,0.13
cust100132,Wesley Carr,1160725854,45,male,east,2022-08-02,False,0.05
cust100133,Mitchell Turner,4217272718,57,female,south,2021-03-18,False,0.27
cust100134,Zachary Snyder,9757683238,56,female,north,2021-08-05,False,0.3
cust100135,Danielle Norman,5559963435,35,male,central,2022-08-01,True,0.13
cust100136,Mckenzie Thompson,3319563416,30,female,central,2020-08-12,True,0.26
cust100137,Robert Crane,2665884332,58,female,south,2021-06-01,False,0.06
cust100138,Tracey Thomas,6259592052,31,male,south,2021-09-22,False,0.3
cust100139,Leslie Johnson,9235245167,35,male,east,2020-09-28,False,0.21
cust100140,Craig Allen,8311165179,46,female,south,2023-03-18,False,0.18
cust100141,Mary Thomas,6583312330,49,male,north,2021-10-19,False,0.19
cust100142,Richard Alexander,0064623565,54,female,south,2023-07-09,False,0.3
cust100143,Jesse Barker,1316205224,24,female,north,2020-09-19,False,0.29
cust100144,Karen Christensen,9812869863,65,male,east,2025-02-25,False,0.26
cust100145,Karen Gross,9951151319,66,female,south,2021-01-11,True,0.22
cust100146,Susan Young,9684609049,41,female,east,2022-12-26,False,0.21
cust100147,Terry Booth,4827749925,61,male,central,2023-02-22,False,0.27
cust100148,Olivia Estrada,7340127154,25,male,west,2024-10-27,False,0.23
cust100149,William Suarez,7077958520,52,male,central,2023-04-14,False,0.28
cust100150,Lisa Brown,8096115999,59,female,west,2025-03-27,False,0.16
cust100151,Levi Moreno,9101884328,18,other,central,2021-05-06,False,0.0
cust100152,Ann Gomez,4931940069,65,female,central,2025-06-03,False,0.32
cust100153,Jennifer Pittman,6655822330,47,female,central,2022-06-03,False,0.46
cust100154,Erica Robinson,1790744432,65,female,east,2024-01-16,False,0.25
cust100155,Andrew Tate,3714963851,46,female,central,2021-11-02,False,0.19
cust100156,Brian Crawford DDS,0626204696,51,male,west,2023-10-15,False,0.18
cust100157,Devon Larson,2884081574,43,male,central,2024-05-06,False,0.19
cust100158,Robert Russell,2867380606,64,female,north,2023-08-07,False,0.2
cust100159,Andrew Gibson,0110945418,65,male,east,2022-12-12,False,0.07
cust100160,Gabriel Mack,9333448549,44,female,south,2020-08-13,False,0.14
cust100161,Dr. Richard Hernandez,6322891563,43,female,south,2021-05-21,False,0.08
cust100162,James Rodriguez,7511131878,70,female,north,2022-11-20,False,0.23
cust100163,Carol Reynolds,4389444544,34,female,west,2020-10-30,False,0.16
cust100164,Lori Wyatt,5741313032,52,male,west,2023-09-17,False,0.26
cust100165,Mary Johnson,2803210259,49,male,central,2021-01-06,True,0.18
cust100166,Chloe Smith,6688874127,50,male,central,2023-05-30,False,0.32
cust100167,Luke Fox,5606978102,40,male,west,2023-05-16,True,0.23
cust100168,Kimberly Vargas,4809438882,50,female,south,2021-09-29,False,0.46
cust100169,Christopher Barrett,1096723971,43,female,east,2025-06-11,False,0.0
cust100170,Shelley Brown,8569374656,31,female,south,2025-07-24,False,0.12
cust100171,Jamie Oliver,1069707137,35,male,central,2022-05-08,False,0.31
cust100172,George Johnson,6473760841,47,female,north,2022-01-10,False,0.5
cust100173,Bradley Garrett,2756771979,59,female,central,2021-01-04,False,0.17
cust100174,Amy Ramirez,7950753350,57,female,west,2020-09-15,False,0.21
cust100175,Jennifer Holder,2507898206,29,male,east,2021-09-14,False,0.17
cust100176,Megan Mata,6668647590,39,female,east,2020-12-26,False,0.36
cust100177,Nicole Martin,8892467457,63,male,north,2024-12-11,False,0.17
cust100178,Donna Howard,4624947027,57,male,west,2021-02-22,False,0.28
cust100179,James Thompson,0040873597,33,female,south,2021-02-22,True,0.16
cust100180,Shelley Mayer,7856669422,64,male,central,2024-11-17,False,0.05
cust100181,Guy Bennett,1837359823,64,male,east,2022-02-02,False,0.24
cust100182,Brenda Ross,1053236789,28,male,south,2021-12-16,False,0.26
cust100183,Gail Olson,0287210102,46,male,west,2021-12-26,False,0.36
cust100184,Jennifer Weaver,1673152906,63,male,east,2023-10-13,True,0.19
cust100185,Ray Lin,9085609716,32,male,west,2022-08-17,False,0.13
cust100186,Keith Ibarra,5260248962,29,male,central,2024-07-15,True,0.27
cust100187,Edward Shepherd,9625276982,66,male,north,2023-02-10,False,0.23
cust100188,Lisa Blevins,0424641401,51,female,central,2024-10-05,False,0.23
cust100189,Sarah Mcdonald,0311109104,60,female,north,2022-09-02,False,0.19
cust100190,Ashley Kirby,2897259689,29,male,west,2023-12-08,False,0.34
cust100191,Scott Galvan,1710048499,46,male,south,2025-04-30,False,0.24
cust100192,Judy Wilson,8057162415,33,female,west,2021-11-09,False,0.43
cust100193,Erin Oliver,7526569714,42,male,east,2020-11-09,False,0.33
cust100194,Jose Gonzalez,5407826718,55,male,south,2024-08-04,False,0.28
cust100195,Daniel Simmons,3234555492,20,male,north,2020-09-30,False,0.0
cust100196,John Norman,3431655310,38,female,central,2025-04-05,False,0.27
cust100197,Gary Norton,9459163975,30,male,south,2024-06-17,False,0.25
cust100198,Ashley Schmidt,8746690162,19,male,south,2024-04-01,False,0.3
cust100199,Thomas Santiago,2734804424,52,male,west,2024-09-17,False,0.33
cust100200,Karen Graham,4894744244,23,male,east,2024-08-04,False,0.15
cust100201,Chase Hughes,0193508406,20,female,central,2024-07-27,False,0.3
cust100202,Lori Nguyen,5863810507,20,female,north,2020-09-21,False,0.13
cust100203,Shirley Campbell,0076816460,30,male,south,2025-08-04,False,0.43
cust100204,Kevin Tucker,5623871663,61,female,south,2021-11-15,False,0.04
cust100205,Andrew Norman,6414072483,42,male,east,2021-03-23,False,0.0
cust100206,Krista Bradley,1429312968,59,female,south,2023-06-06,True,0.0
cust100207,Thomas Fleming,2066323197,68,female,east,2023-04-18,False,0.09
cust100208,Maxwell Wright,9424594833,62,female,central,2023-04-13,False,0.07
cust100209,Daniel Jackson,9364434600,40,female,central,2024-11-30,False,0.43
cust100210,Teresa Turner,3444792952,52,male,north,2022-07-18,False,0.16
cust100211,Bernard Snyder,5097666597,65,female,north,2024-05-24,False,0.04
cust100212,Shannon Roberts,5966160693,24,male,south,2021-02-26,False,0.33
cust100213,Michael Reyes,5587267920,20,male,north,2023-02-11,False,0.13
cust100214,Pamela Wilson,3042212964,50,male,east,2024-06-03,True,0.05
cust100215,Steven Nielsen,6872917331,38,male,central,2024-01-04,True,0.31
cust100216,Collin Austin,9515842976,60,male,west,2024-07-06,False,0.27
cust100217,Michelle Walker,6653786592,46,male,central,2020-11-08,False,0.15
cust100218,Wanda Roy,5527387849,34,female,north,2021-08-20,False,0.37
cust100219,Diane Collier,3470630449,42,male,east,2021-08-25,False,0.22
cust100220,Peter Nguyen,0620877586,26,male,west,2020-09-26,False,0.39
cust100221,Mary Price,0350272722,61,male,west,2021-11-07,False,0.26
cust100222,Melissa Hunt,3086373233,50,female,east,2023-03-31,False,0.39
cust100223,Maria Evans,3341900951,50,female,central,2024-07-25,False,0.21
cust100224,Joy Miller,5573671650,26,female,west,2022-01-07,False,0.05
cust100225,Jacqueline Horne,4243553000,53,female,central,2024-02-18,False,0.49
cust100226,Erika Reeves,1302654706,52,male,east,2021-02-23,False,0.13
cust100227,Nicole Perez,0272519388,30,male,central,2021-05-13,False,0.18
cust100228,Charles Neal,9120944502,44,male,central,2024-02-05,True,0.12
cust100229,Robert Mcmahon,6657547240,37,female,central,2022-02-25,False,0.18
cust100230,Amy Brown,0326963994,37,male,east,2021-07-05,False,0.23
cust100231,Brandon Orr,8335887169,65,female,north,2022-05-18,False,0.22
cust100232,Catherine Garcia,7631145659,27,male,east,2022-03-24,False,0.28
cust100233,Linda Jones,5175034623,54,male,east,2021-12-26,False,0.42
cust100234,Amber Anthony,9128793760,41,female,west,2021-04-19,False,0.19
cust100235,Heather Carter,2836719588,23,female,north,2021-07-09,False,0.05
cust100236,Chelsey Reed,8623038802,51,female,east,2024-11-22,False,0.06
cust100237,Alexander Stephens,1465908070,62,female,east,2024-04-01,False,0.12
cust100238,Timothy Leonard,4190161310,69,female,west,2021-10-27,False,0.0
cust100239,Theresa Faulkner,7898376101,56,female,central,2025-06-09,False,0.3
cust100240,Lisa Harris,6673370447,19,male,south,2023-01-23,False,0.14
cust100241,Heather Rodriguez,3602665821,25,male,west,2025-01-26,False,0.16
cust100242,Amanda Parsons,2076956534,57,male,north,2021-08-11,False,0.2
cust100243,Steven Velasquez,1157483853,61,male,north,2021-05-15,False,0.03
cust100244,Steve Wright,2112796349,22,female,central,2022-07-20,False,0.1
cust100245,Zachary Wilson,8021287610,22,female,south,2022-05-22,False,0.28
cust100246,Andrew Holder,8344248581,29,female,west,2025-01-28,True,0.27
cust100247,Wesley Reyes,0408990687,41,female,west,2024-09-04,False,0.15
cust100248,Luke Garrison,9061735906,36,male,south,2022-12-15,False,0.42
cust100249,Chelsea Smith,8167884106,33,male,east,2021-05-13,False,0.04
cust100250,Robin Zamora,1995139522,30,female,north,2022-03-31,False,0.16
cust100251,Paul Carter,8765887220,34,male,north,2021-06-20,False,0.17
cust100252,Mark Clark,1788669688,67,male,west,2024-01-02,True,0.0
cust100253,Douglas Martinez,9273267053,57,female,central,2023-12-06,False,0.43
cust100254,Raymond Carroll,1961100112,20,male,west,2023-05-03,True,0.24
cust100255,Zachary Jordan,6151675810,37,female,north,2025-02-12,False,0.07
cust100256,Jason Knox,7805944270,70,male,east,2020-10-24,False,0.45
cust100257,William Hanson,3497731240,52,female,central,2023-10-23,False,0.27
cust100258,Randall Thompson,9524114364,44,female,central,2023-04-27,False,0.25
cust100259,Brenda Wilcox,3761067047,58,female,west,2022-12-09,False,0.13
cust100260,John Pitts,2635730315,50,male,south,2020-12-04,False,0.21
cust100261,Jeffrey Mclaughlin,9750342816,28,male,north,2024-10-14,False,0.02
cust100262,Ruben Booth,4453039442,65,female,north,2024-08-02,False,0.3
cust100263,Shirley Bailey,7139501323,43,male,north,2022-09-25,False,0.16
cust100264,Jennifer Bell,9545550164,23,female,west,2025-05-20,False,0.22
cust100265,Ryan Hunt,6798832806,35,female,east,2021-11-16,False,0.34
cust100266,Patrick Austin,9214349276,48,female,west,2020-09-04,False,0.23
cust100267,Charles Jenkins,0614671866,25,male,south,2020-09-22,False,0.23
cust100268,Antonio Green,3512468218,19,other,east,2023-01-27,False,0.23
cust100269,Amy Diaz,5478182013,26,female,east,2023-08-22,False,0.11
cust100270,Helen Robertson,1544554667,44,male,central,2022-10-14,False,0.3
cust100271,Stephen Graves,4697904875,44,female,west,2023-01-26,False,0.39
cust100272,Stephen Dominguez,8995266443,49,male,west,2023-09-06,False,0.29
cust100273,Karen Miller,0647825236,43,female,north,2021-03-15,True,0.31
cust100274,Stephanie Thomas,2036547406,31,female,south,2020-12-30,False,0.09
cust100275,Kenneth Sullivan,5754150439,24,male,west,2021-02-19,False,0.1
cust100276,Deanna Scott,4845270167,24,male,south,2025-03-10,False,0.03
cust100277,Vicki House,2372453390,23,male,north,2023-08-13,False,0.35
cust100278,Megan Ford,1350516875,52,male,north,2021-04-22,False,0.17
cust100279,Robert Crawford,8179481926,24,female,west,2021-01-22,False,0.37
cust100280,Taylor Reyes,0891115198,65,male,east,2023-10-24,False,0.11
cust100281,James Gutierrez,6989279761,29,male,north,2022-04-03,False,0.15
cust100282,Brenda Levine,0550267906,61,female,west,2023-05-05,False,0.21
cust100283,Shane Foster,7652492992,46,male,central,2023-05-14,False,0.31
cust100284,Leah Barber,8757680636,43,male,west,2024-09-27,False,0.21
cust100285,Timothy Johnson,6428798541,42,female,south,2024-12-23,False,0.23
cust100286,Natasha Fritz,5687768007,34,male,central,2024-11-04,False,0.2
cust100287,Ashley Bell,2712475230,49,female,central,2022-01-21,False,0.22
cust100288,Julian Chavez,7233241426,68,female,east,2023-09-24,False,0.07
cust100289,Laurie Fuentes,5953089279,24,male,east,2021-03-22,False,0.21
cust100290,James Hernandez,3430007438,63,male,central,2024-05-12,False,0.18
cust100291,Nicole Munoz,2275079854,37,female,north,2023-06-28,False,0.19
cust100292,Theresa Roach,7385142464,35,male,south,2021-03-02,False,0.26
cust100293,Suzanne Shaw,0043047975,26,male,west,2023-07-13,False,0.12
cust100294,Gregory Goodman,7675991331,56,female,north,2021-10-10,False,0.19
cust100295,Kelly Miller,4126372316,56,female,west,2020-12-15,False,0.16
cust100296,David Turner,5776395245,48,female,east,2025-05-11,False,0.25
cust100297,Kyle Frost,2357590072,49,male,west,2022-11-12,False,0.29
cust100298,Cindy Cooke,4153553163,29,female,south,2022-09-12,False,0.09
cust100299,Robert Davis,6598692183,55,female,central,2024-05-14,False,0.27
cust100300,John Ingram,8840686229,50,male,south,2021-11-22,False,0.45
cust100301,Michael Powell,1356955436,69,other,south,2021-04-12,False,0.02
cust100302,Thomas Weber,2952136085,49,male,north,2024-11-28,False,0.1
cust100303,Heather Keller,1372551786,26,female,south,2022-06-25,True,0.09
cust100304,Jimmy Ortega,6357578023,52,female,north,2024-07-12,False,0.17
cust100305,Dominic Walker,0268558964,61,male,central,2023-02-21,False,0.39
cust100306,Anthony Hawkins,9334166844,54,female,east,2025-07-02,False,0.2
cust100307,Dr. Robert Davis,8598101537,18,female,east,2021-01-17,False,0.12
cust100308,Jessica Miller,7276740948,32,male,south,2023-10-06,False,0.27
cust100309,Anna Sims,8206025681,58,other,east,2023-08-10,False,0.13
cust100310,Garrett Braun,0143996061,64,female,north,2023-11-16,False,0.33
cust100311,David Barnes,0277952813,40,male,east,2021-12-07,False,0.24
cust100312,Kathleen Bates,6749795699,27,female,north,2021-01-05,False,0.37
cust100313,Daniel Lynch,1035338281,23,female,north,2023-02-22,False,0.12
cust100314,Mark Willis,3099722602,33,male,north,2020-09-04,False,0.56
cust100315,Rodney Robinson,3696029031,23,male,west,2020-11-17,False,0.3
cust100316,James Ward,7172445739,64,female,south,2024-02-13,True,0.28
cust100317,Crystal Robinson,3576378850,39,male,central,2021-10-03,False,0.19
cust100318,Jessica Stephens,9713063836,25,male,south,2023-03-23,False,0.11
cust100319,Michelle Castaneda,4855268331,35,male,central,2024-11-14,False,0.1
cust100320,Michael Yang,5676304322,51,male,west,2025-04-09,False,0.18
cust100321,Mary Garner,6455437650,43,male,south,2023-06-27,False,0.1
cust100322,Ricardo Davis,8764065251,53,male,central,2021-08-17,False,0.23
cust100323,James Dixon,2616893778,29,male,west,2021-01-01,False,0.1
cust100324,Susan Finley,3390537428,19,male,east,2023-01-30,False,0.27
cust100325,Kelsey Herman,6120648242,34,male,west,2021-06-12,False,0.31
cust100326,Jordan Norton,8303965560,65,male,central,2023-12-17,False,0.12
cust100327,Johnny Gomez,7555988382,53,female,central,2021-10-20,False,0.34
cust100328,Amy Allen,7077206624,19,female,west,2023-05-26,False,0.17
cust100329,Shane Chambers,5741085220,27,male,central,2022-05-28,False,0.34
cust100330,Stephen Gillespie,7763621344,70,male,east,2021-09-29,False,0.25
cust100331,Jeffrey Beck,7245498504,36,male,west,2021-07-30,False,0.33
cust100332,Nathaniel Pittman,1165402845,43,male,central,2024-07-02,False,0.08
cust100333,Christopher Maxwell,3729686141,36,female,central,2023-08-29,False,0.19
cust100334,Yolanda Lawrence,0887998230,52,female,south,2025-02-02,False,0.37
cust100335,Jennifer Sutton,8585902637,53,female,north,2024-09-04,False,0.13
cust100336,Mary Swanson,4804772198,67,male,west,2025-07-11,False,0.0
cust100337,Amber Perkins,9392269539,41,male,central,2025-04-15,False,0.0
cust100338,Thomas Lopez,1656320603,24,male,north,2020-11-26,False,0.0
cust100339,Jacob Tran,5707368169,62,male,north,2023-07-18,False,0.0
cust100340,Jose Hall,0696922532,55,male,central,2023-01-20,False,0.15
cust100341,Paul Smith,6202044501,53,male,central,2021-03-26,False,0.35
cust100342,William Clark,5249270921,59,male,west,2020-10-01,False,0.15
cust100343,Matthew Palmer,8886478779,33,female,central,2023-09-10,False,0.24
cust100344,Grant Wiggins,3266293837,53,female,south,2024-12-20,False,0.19
cust100345,Maria Jennings,0977039428,20,female,east,2023-08-22,False,0.2
cust100346,Scott Miller,8051282209,64,male,north,2023-04-09,False,0.18
cust100347,Paul Ward,1779045715,44,male,east,2020-11-30,False,0.18
cust100348,Kenneth Ray,7158791982,39,male,south,2023-02-04,False,0.26
cust100349,Wayne Davis,7994748787,51,male,east,2023-07-17,False,0.06
cust100350,Derrick Massey,2795419463,50,male,west,2021-10-24,False,0.32
cust100351,Angel Craig,5146123757,66,female,central,2022-08-18,True,0.31
cust100352,Kevin Hester,9499226000,31,male,south,2025-07-13,False,0.18
cust100353,Jose Griffin,3365744241,32,male,east,2024-06-05,False,0.3
cust100354,Andrea Montgomery,7882158693,39,female,west,2023-03-14,False,0.12
cust100355,Crystal Cameron,8405963628,41,female,south,2023-06-04,False,0.14
cust100356,Stephen Ortiz,4601851677,43,female,central,2024-04-29,False,0.22
cust100357,Margaret Ross,7038217631,35,female,south,2024-10-18,True,0.18
cust100358,Terri Love,0400762923,44,male,north,2023-02-12,False,0.15
cust100359,Sierra Mccarty,2724049409,29,male,west,2023-03-19,False,0.12
cust100360,John Giles,0604053523,69,female,south,2021-04-14,False,0.13
cust100361,Andrew Hood,9970698638,51,female,east,2021-04-22,True,0.31
cust100362,Ashley Tran,9856683262,43,female,south,2021-02-20,False,0.0
cust100363,Robert Thompson,2943418539,43,other,central,2023-05-18,False,0.24
cust100364,Terry Walsh,2934067702,45,female,south,2025-05-14,False,0.17
cust100365,Michael Liu,5851635153,33,male,central,2024-02-28,False,0.29
cust100366,Michael Bates,8061009271,28,male,central,2021-09-04,True,0.26
cust100367,Chad Lopez,2521216223,31,male,north,2024-08-01,False,0.0
cust100368,Selena Rodriguez,0739642559,64,male,central,2022-06-27,False,0.27
cust100369,Lisa Lee,2084731139,59,other,north,2024-03-19,False,0.24
cust100370,Rachel Baldwin,9837012627,67,male,central,2023-02-14,False,0.2
cust100371,Anthony Jackson,4598349318,42,male,north,2020-10-19,False,0.14
cust100372,Christopher Martinez,0830570361,48,male,central,2024-09-13,False,0.3
